Gene	Entrez Gene Name	Location	Type(s)
Ackr3	atypical chemokine receptor 3	Plasma Membrane	G-protein coupled receptor
Acsbg1	acyl-CoA synthetase bubblegum family member 1	Cytoplasm	enzyme
Adam33	ADAM metallopeptidase domain 33	Plasma Membrane	peptidase
Adcyap1	adenylate cyclase activating polypeptide 1	Extracellular Space	other
Adcyap1r1	ADCYAP receptor type I	Plasma Membrane	G-protein coupled receptor
Adora1	adenosine A1 receptor	Plasma Membrane	G-protein coupled receptor
Adora2a	adenosine A2a receptor	Plasma Membrane	G-protein coupled receptor
Adora2b	adenosine A2b receptor	Plasma Membrane	G-protein coupled receptor
Adora3	adenosine A3 receptor	Plasma Membrane	G-protein coupled receptor
Adra1a	adrenoceptor alpha 1A	Plasma Membrane	G-protein coupled receptor
Adra1b	adrenoceptor alpha 1B	Plasma Membrane	G-protein coupled receptor
Adra1d	adrenoceptor alpha 1D	Plasma Membrane	G-protein coupled receptor
Adra2a	adrenoceptor alpha 2A	Plasma Membrane	G-protein coupled receptor
Adra2b	adrenoceptor alpha 2B	Plasma Membrane	G-protein coupled receptor
Adra2c	adrenoceptor alpha 2C	Plasma Membrane	G-protein coupled receptor
Adrb1	adrenoceptor beta 1	Plasma Membrane	G-protein coupled receptor
Adrb3	adrenoceptor beta 3	Plasma Membrane	G-protein coupled receptor
Aqp4	aquaporin 4	Plasma Membrane	transporter
Arc	activity regulated cytoskeleton associated protein	Cytoplasm	other
Arhgap25	Rho GTPase activating protein 25	Cytoplasm	other
Aspa	aspartoacylase	Cytoplasm	enzyme
Bcl11b	BAF chromatin remodeling complex subunit BCL11B	Nucleus	transcription regulator
Bdnf	brain derived neurotrophic factor	Extracellular Space	growth factor
Blnk	B cell linker	Cytoplasm	other
Bmp4	bone morphogenetic protein 4	Extracellular Space	growth factor
Brca1	BRCA1 DNA repair associated	Nucleus	transcription regulator
Brinp3	BMP/retinoic acid inducible neural specific 3	Cytoplasm	other
C1qa	complement C1q A chain	Extracellular Space	other
C1qb	complement C1q B chain	Extracellular Space	other
C1qc	complement C1q C chain	Extracellular Space	other
Cacna1a	calcium voltage-gated channel subunit alpha1 A	Plasma Membrane	ion channel
Cacna1b	calcium voltage-gated channel subunit alpha1 B	Plasma Membrane	ion channel
Cacna1d	calcium voltage-gated channel subunit alpha1 D	Plasma Membrane	ion channel
Cacna1e	calcium voltage-gated channel subunit alpha1 E	Plasma Membrane	ion channel
Cacna1f	calcium voltage-gated channel subunit alpha1 F	Plasma Membrane	ion channel
Cacna1g	calcium voltage-gated channel subunit alpha1 G	Plasma Membrane	ion channel
Cacna1h	calcium voltage-gated channel subunit alpha1 H	Plasma Membrane	ion channel
Cacna1i	calcium voltage-gated channel subunit alpha1 I	Plasma Membrane	ion channel
Cacna1s	calcium voltage-gated channel subunit alpha1 S	Plasma Membrane	ion channel
Cacna2d1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	Plasma Membrane	ion channel
Cacna2d2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	Plasma Membrane	ion channel
Cacna2d3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Plasma Membrane	ion channel
Cacna2d4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	Plasma Membrane	ion channel
Cacnb1	calcium voltage-gated channel auxiliary subunit beta 1	Plasma Membrane	ion channel
Cacnb2	calcium voltage-gated channel auxiliary subunit beta 2	Plasma Membrane	ion channel
Cacnb4	calcium voltage-gated channel auxiliary subunit beta 4	Plasma Membrane	ion channel
Cacng1	calcium voltage-gated channel auxiliary subunit gamma 1	Plasma Membrane	ion channel
Cacng2	calcium voltage-gated channel auxiliary subunit gamma 2	Plasma Membrane	ion channel
Cacng3	calcium voltage-gated channel auxiliary subunit gamma 3	Plasma Membrane	ion channel
Cacng4	calcium voltage-gated channel auxiliary subunit gamma 4	Plasma Membrane	ion channel
Cacng5	calcium voltage-gated channel auxiliary subunit gamma 5	Plasma Membrane	ion channel
Cacng6	calcium voltage-gated channel auxiliary subunit gamma 6	Plasma Membrane	ion channel
Cacng7	calcium voltage-gated channel auxiliary subunit gamma 7	Plasma Membrane	ion channel
Cacng8	calcium voltage-gated channel auxiliary subunit gamma 8	Plasma Membrane	ion channel
Cadps2	calcium dependent secretion activator 2	Plasma Membrane	other
Calb1	calbindin 1	Cytoplasm	other
Cbln4	cerebellin 4 precursor	Extracellular Space	other
Ccbe1	collagen and calcium binding EGF domains 1	Extracellular Space	other
Ccdc3	coiled-coil domain containing 3	Cytoplasm	other
Cckbr	cholecystokinin B receptor	Plasma Membrane	G-protein coupled receptor
Ccnb1	cyclin B1	Cytoplasm	kinase
Cd24a	CD24a antigen	Plasma Membrane	other
Cd44	CD44 molecule (Indian blood group)	Plasma Membrane	other
Cdca7	cell division cycle associated 7	Nucleus	other
Cdh12	cadherin 12	Plasma Membrane	other
Cdh20	cadherin 20	Plasma Membrane	other
Cdh9	cadherin 9	Plasma Membrane	other
Ceacam9	carcinoembryonic antigen-related cell adhesion molecule 9	Extracellular Space	other
Chn2	chimerin 2	Cytoplasm	other
Chodl	chondrolectin	Plasma Membrane	other
Chrm1	cholinergic receptor muscarinic 1	Plasma Membrane	G-protein coupled receptor
Chrm2	cholinergic receptor muscarinic 2	Plasma Membrane	G-protein coupled receptor
Chrm3	cholinergic receptor muscarinic 3	Plasma Membrane	G-protein coupled receptor
Chrm4	cholinergic receptor muscarinic 4	Plasma Membrane	G-protein coupled receptor
Chrm5	cholinergic receptor muscarinic 5	Plasma Membrane	G-protein coupled receptor
Chrna1	cholinergic receptor nicotinic alpha 1 subunit	Plasma Membrane	transmembrane receptor
Chrna10	cholinergic receptor nicotinic alpha 10 subunit	Plasma Membrane	transmembrane receptor
Chrna2	cholinergic receptor nicotinic alpha 2 subunit	Plasma Membrane	transmembrane receptor
Chrna3	cholinergic receptor nicotinic alpha 3 subunit	Plasma Membrane	transmembrane receptor
Chrna4	cholinergic receptor nicotinic alpha 4 subunit	Plasma Membrane	transmembrane receptor
Chrna5	cholinergic receptor nicotinic alpha 5 subunit	Plasma Membrane	transmembrane receptor
Chrna7	cholinergic receptor nicotinic alpha 7 subunit	Plasma Membrane	transmembrane receptor
Chrna9	cholinergic receptor nicotinic alpha 9 subunit	Plasma Membrane	transmembrane receptor
Chrnb1	cholinergic receptor nicotinic beta 1 subunit	Plasma Membrane	transmembrane receptor
Chrnb2	cholinergic receptor nicotinic beta 2 subunit	Plasma Membrane	transmembrane receptor
Chrnb3	cholinergic receptor nicotinic beta 3 subunit	Plasma Membrane	transmembrane receptor
Chrnb4	cholinergic receptor nicotinic beta 4 subunit	Plasma Membrane	transmembrane receptor
Chrne	cholinergic receptor nicotinic epsilon subunit	Plasma Membrane	transmembrane receptor
Clca1	chloride channel accessory 1	Plasma Membrane	ion channel
Clca2	chloride channel accessory 2	Plasma Membrane	ion channel
Clca3a1	chloride channel accessory 3A1	Plasma Membrane	ion channel
Clca3a2	chloride channel accessory 3A1	Plasma Membrane	ion channel
Clca3b	chloride channel accessory 3B	Other	ion channel
Clca4a	chloride channel accessory 4	Plasma Membrane	ion channel
Clca4b	chloride channel accessory 4	Plasma Membrane	ion channel
Clcc1	chloride channel CLIC like 1	Cytoplasm	ion channel
Clcn1	chloride voltage-gated channel 1	Plasma Membrane	ion channel
Clcn2	chloride voltage-gated channel 2	Plasma Membrane	ion channel
Clcn3	chloride voltage-gated channel 3	Plasma Membrane	ion channel
Clcn5	chloride voltage-gated channel 5	Plasma Membrane	ion channel
Clcn6	chloride voltage-gated channel 6	Plasma Membrane	ion channel
Clcn7	chloride voltage-gated channel 7	Plasma Membrane	ion channel
Clcnkb	chloride voltage-gated channel Ka	Plasma Membrane	ion channel
Cldn5	claudin 5	Plasma Membrane	other
Clic1	chloride intracellular channel 1	Nucleus	ion channel
Clic3	chloride intracellular channel 3	Nucleus	ion channel
Clic4	chloride intracellular channel 4	Plasma Membrane	ion channel
Clic5	chloride intracellular channel 5	Cytoplasm	ion channel
Clic6	chloride intracellular channel 6	Plasma Membrane	ion channel
Clrn1	clarin 1	Plasma Membrane	other
Cnr1	cannabinoid receptor 1	Plasma Membrane	G-protein coupled receptor
Cnr2	cannabinoid receptor 2	Plasma Membrane	G-protein coupled receptor
Cntnap5b	contactin associated protein-like 5B	Other	other
Col14a1	collagen type XIV alpha 1 chain	Extracellular Space	other
Col23a1	collagen type XXIII alpha 1 chain	Plasma Membrane	other
Col24a1	collagen type XXIV alpha 1 chain	Extracellular Space	other
Cpne2	copine 2	Cytoplasm	other
Crem	cAMP responsive element modulator	Nucleus	transcription regulator
Crh	corticotropin releasing hormone	Extracellular Space	cytokine
Crhr1	corticotropin releasing hormone receptor 1	Plasma Membrane	G-protein coupled receptor
Crhr2	corticotropin releasing hormone receptor 2	Plasma Membrane	G-protein coupled receptor
Crim1	cysteine rich transmembrane BMP regulator 1	Extracellular Space	kinase
Crispld2	cysteine rich secretory protein LCCL domain containing 2	Cytoplasm	other
Ctss	cathepsin S	Cytoplasm	peptidase
Cux1	cut-like homeobox 1	Nucleus	transcription regulator
